DATAFLOW,LAST UPDATE,freq,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Poland,2023,16.564,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Portugal,2019,30.623,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Portugal,2020,33.982,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Portugal,2021,33.982,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Portugal,2022,34.675,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Portugal,2023,35.163,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Romania,2019,24.29,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Romania,2020,24.478,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Romania,2021,23.871,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Romania,2022,24.229,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Romania,2023,25.757,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Serbia,2019,21.443,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Serbia,2020,26.297,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Serbia,2021,25.255,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Serbia,2022,24.670,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Serbia,2023,25.428,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Sweden,2019,55.785,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Sweden,2020,60.124,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Sweden,2021,62.527,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Sweden,2022,66.287,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Sweden,2023,66.393,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Slovenia,2019,21.968,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Slovenia,2020,25,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Slovenia,2021,25.000,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Slovenia,2022,25.002,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Slovenia,2023,25.066,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Slovakia,2019,16.894,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Slovakia,2020,17.345,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Slovakia,2021,17.419,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Slovakia,2022,17.481,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Slovakia,2023,16.990,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Kosovo*,2019,24.215,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Kosovo*,2020,24.401,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Kosovo*,2021,22.14,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Kosovo*,2022,18.779,,
